MsgType,MsgStartTime,MsgStopTime,MsgPowerRole
AUX,3.311,3.66,DUT
AUX,4.311,4.66,DUT
AUX,5.311,5.66,DUT
AUX,6.311,6.66,DUT
AUX,7.311,7.66,DUT
AUX,8.311,8.66,DUT
AUX,9.311,9.66,DUT
AUX,10.311,10.66,DUT
AUX,11.311,11.66,DUT
AUX,12.311,12.66,DUT
AUX,13.311,13.66,DUT
AUX,14.311,14.66,DUT
AUX,15.311,15.66,DUT
AUX,16.311,16.66,DUT
AUX,17.311,17.66,DUT
AUX,18.311,18.66,DUT
AUX,19.311,19.66,DUT
AUX,20.311,20.66,DUT
AUX,21.311,21.66,DUT
AUX,22.311,22.66,DUT
AUX,23.311,23.66,DUT
AUX,24.311,24.66,DUT
AUX,25.311,25.66,DUT
AUX,26.311,26.66,DUT
AUX,27.311,27.66,DUT
AUX,28.311,28.66,DUT
AUX,29.311,29.66,DUT
AUX,30.311,30.66,DUT
AUX,31.311,31.66,DUT
AUX,32.311,32.66,DUT
AUX,33.311,33.66,DUT
AUX,34.311,34.66,DUT
AUX,35.311,35.66,DUT
AUX,36.311,36.66,DUT
AUX,37.311,37.66,DUT
AUX,38.311,38.66,DUT
AUX,39.311,39.66,DUT
AUX,40.311,40.66,DUT
AUX,41.311,41.66,DUT
AUX,42.311,42.66,DUT
AUX,43.311,43.66,DUT
AUX,44.311,44.66,DUT
AUX,45.311,45.66,DUT
AUX,46.311,46.66,DUT
AUX,47.311,47.66,DUT
AUX,48.311,48.66,DUT
AUX,49.311,49.66,DUT
AUX,50.311,50.66,DUT
AUX,51.311,51.66,DUT
AUX,52.311,52.66,DUT
AUX,53.311,53.66,DUT
AUX,54.311,54.66,DUT
AUX,55.311,55.66,DUT
AUX,56.311,56.66,DUT
AUX,57.311,57.66,DUT
AUX,58.311,58.66,DUT
AUX,59.311,59.66,DUT
AUX,60.311,60.66,DUT
AUX,61.311,61.66,DUT
AUX,62.311,62.66,DUT
AUX,63.311,63.66,DUT
AUX,64.311,64.66,DUT
